Applicant,FacilityType,LocationDescription,Address,BlockLot,Block,Lot,Status,FoodItems,X,Y,Latitude,Longitude
Brazuca Grill,Truck,03RD ST: MARIPOSA ST to 18TH ST (2000 - 2098) -- WEST --,2030 03RD ST,3995105,3995,105,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015620.25,2106039.246,37.7636598,-122.3891339
Wu Wei LLC dba MoBowl,Truck,FRONT ST: VALLEJO ST to GREEN ST (900 - 999),900 FRONT ST,137001,137,1,EXPIRED,Various types of meat: veggie: and seafood bowls.,6012874.622,2119410.253,37.80022092,-122.399569
Golden Gate Halal Food,Push Cart,MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (943 - 999) -- SOUTH --,979 MARKET ST,3704068,3704,68,SUSPEND,Pulao Plates & Sandwiches: Various Drinks,6009863.636,2112937.779,37.78228077,-122.4095312
Brazuca Grill,Truck,TENNESSEE ST: MARIPOSA ST to 18TH ST (600 - 699),640 TENNESSEE ST,3996012,3996,12,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015341.121,2106001.428,37.76354048,-122.3900966
Brazuca Grill,Truck,MINNESOTA ST: MINNESOTA ST to 26TH ST (1400 - 1499),1400 MINNESOTA ST,4293018,4293,18,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015242.858,2101827.597,37.75207459,-122.3901449
Eva's Catering,Truck,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1100 ORTEGA ST,2055019,2055,19,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages,5990583.21,2102550.36,37.75266052,-122.4754735
Brazuca Grill,Truck,MARIPOSA ST: PENNSYLVANIA AVE to MISSISSIPPI ST (1000 - 1099),1040 MARIPOSA ST,3987012,3987,12,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6014135.465,2106266.867,37.76420238,-122.3942852
Brazuca Grill,Truck,PENNSYLVANIA AVE: MARIPOSA ST to I-280 S OFF RAMP (200 - 256),208 PENNSYLVANIA AVE,4000053,4000,53,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6014208.711,2105996.092,37.76346296,-122.3940129
Park's Catering,Truck,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1575 BURKE AVE,5203043,5203,43,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016176.048,2098933.04,37.74417845,-122.3867159
Wu Wei LLC dba MoBowl,Truck,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),500 HOWARD ST,3721011,3721,11,EXPIRED,Various types of meat: veggie: and seafood bowls.,,,0,0
Natan's Catering,Truck,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,4343002,4343,2,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013220.459,2100301.58,37.74777209,-122.3970317
Park's Catering,Truck,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2323 CESAR CHAVEZ ST,4342001,4342,1,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6012210.337,2100696.938,37.74880138,-122.4005525
Flavors of Africa,Truck,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),405 HOWARD ST,3737030,3737,30,SUSPEND,Meat and vegi rice bowls: meat and vegi salad bowls: meat and vegi wraps: drinks and juices.,6014066.566,2115128.287,37.78853001,-122.3951443
Tacos Rodriguez,Truck,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,289003,289,3,SUSPEND,Tacos: burritos: quesadillas: soda & water,6012406.465,2115874.016,37.79048515,-122.4009404
Park's Catering,Truck,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3400 - 3498) -- WEST --,3450 03RD ST,5211029,5211,29,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6015874.731,2099503.899,37.74572922,-122.3877977
Brazuca Grill,Truck,03RD ST: EGBERT AVE to FITZGERALD AVE (6000 - 6170) -- WEST --,6000 03RD ST,5431A001U,5431A,001U,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6013371.112,2091633.565,37.7239799,-122.3959035
Wu Wei LLC dba MoBowl,Truck,DRUMM ST: CLAY ST to WASHINGTON ST (200 - 299),253 DRUMM ST,203013,203,13,EXPIRED,Various types of meat: veggie: and seafood bowls.,6013507.554,2117905.099,37.79612338,-122.3972732
Brazuca Grill,Truck,03RD ST: MARIPOSA ST to 18TH ST (2001 - 2099) -- EAST --,2085 03RD ST,3994002,3994,2,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015805.902,2105904.117,37.76329906,-122.3884823
Brazuca Grill,Truck,ARMSTRONG AVE: HAWES ST to INGALLS ST (1300 - 1399),1315 ARMSTRONG AVE,4851017,4851,17,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015787.012,2091256.533,37.72307876,-122.3875257
F & C Catering,Truck,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2890 03RD ST,4246003,4246,3,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,6015821.245,2102192.556,37.75310875,-122.3881702
Brazuca Grill,Truck,EDDY ST: BUCHANAN ST to WEBSTER ST (1300 - 1399),1346 EDDY ST,733014,733,14,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6003979.585,2112907.843,37.78186712,-122.4298852
Park's Catering,Truck,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6014340.249,2099120.438,37.7445912,-122.3930769
Brazuca Grill,Truck,SHOTWELL ST: 15TH ST to 16TH ST (100 - 199),131 SHOTWELL ST,5501 003,5501,3,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6007971.764,2100466.349,37.74793094,-122.4151932
Park's Catering,Truck,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),190 NAPOLEON ST,4343004,4343,4,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6012688.941,2100244.688,37.74758628,-122.3988657
Treats by the Bay LLC,Push Cart,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,6,EXPIRED,Ice Cream: Donuts,6014186.566,2117071.214,37.79387151,-122.3948652
Park's Catering,Truck,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),250 NAPOLEON ST,4343021,4343,21,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6012092.933,2099954.245,37.74675555,-122.4009063
